EntityNumber,ActivityGroup,NaceVersion,NaceCode,Classification
0207.500.123,6,2008,84114,MAIN
0207.500.123,1,2008,52220,MAIN
0207.500.123,1,2008,10110,SECO
0207.500.123,1,2008,55300,SECO
0207.500.123,1,2008,64200,SECO
0207.500.123,1,2008,68311,SECO
0207.500.123,1,2003,63220,MAIN
0207.500.123,1,2003,15111,SECO
0207.500.123,1,2003,55220,SECO
0207.500.123,1,2003,70311,SECO
0211.205.820,6,2008,94910,MAIN
0211.205.820,6,2003,91310,MAIN
0211.207.008,6,2008,94910,MAIN
0211.207.008,6,2003,91310,MAIN
0211.207.107,6,2008,94910,MAIN
0211.207.107,1,2008,94910,MAIN
0211.207.107,6,2003,91310,MAIN
0211.207.602,6,2008,94910,MAIN
0211.207.602,6,2003,91310,MAIN
0212.235.604,6,2008,84115,MAIN
0212.235.604,1,2008,84115,MAIN
0212.235.604,1,2008,68203,SECO
0212.235.604,1,2003,75115,MAIN
0212.235.604,1,2003,70203,SECO
0257.216.482,6,2008,85421,MAIN
0257.216.482,1,2008,85421,MAIN
0257.216.482,1,2003,80301,MAIN
0257.216.482,6,2003,80301,MAIN
0267.396.039,6,2008,84114,MAIN
0267.396.039,1,2008,52210,MAIN
0267.396.039,1,2003,63210,MAIN
0400.052.249,6,2008,77120,MAIN
0400.052.249,1,2008,52290,MAIN
0400.052.249,1,2003,63405,MAIN
0400.052.249,6,2003,71210,MAIN
0400.377.594,1,2008,77320,MAIN
0400.377.594,1,2008,68203,SECO
0400.445.001,6,2008,94910,MAIN
0400.445.001,1,2008,56301,MAIN
0400.445.001,6,2003,91310,MAIN
0400.461.035,1,2008,23321,MAIN
0400.461.035,1,2003,26402,MAIN
0400.526.955,6,2008,69109,MAIN
0400.526.955,1,2008,69109,MAIN
0400.526.955,1,2003,74114,MAIN
0400.526.955,6,2003,74114,MAIN
0400.868.732,1,2008,68203,MAIN
0400.868.732,1,2008,68201,SECO
0400.868.732,1,2003,50103,MAIN
0400.868.732,1,2003,50200,SECO
0401.950.974,6,2008,62010,MAIN
0401.950.974,1,2008,46180,MAIN
0401.950.974,1,2003,51180,MAIN
0401.955.033,6,2008,46460,MAIN
0401.955.033,1,2008,46460,MAIN
0401.955.033,1,2003,51460,MAIN
0401.955.033,6,2003,51450,MAIN
0401.966.317,6,2008,41102,MAIN
0401.966.317,1,2008,68203,MAIN
0401.966.317,1,2008,68201,SECO
0401.966.317,1,2003,70111,MAIN
0401.966.317,6,2003,70112,MAIN
0402.622.155,1,2008,64929,MAIN
0402.622.155,1,2008,64200,SECO
0402.622.155,1,2008,64999,SECO
0402.622.155,1,2008,68100,SECO
0402.622.155,1,2008,68201,SECO
0402.622.155,1,2008,68203,SECO
0402.622.155,1,2003,71408,MAIN
0402.622.155,1,2003,70201,SECO
0402.682.731,6,2008,73200,MAIN
0402.682.731,1,2008,73200,MAIN
0402.682.731,1,2008,70220,SECO
0402.682.731,1,2008,82990,SECO
0402.682.731,1,2003,74131,MAIN
0402.682.731,6,2003,74131,MAIN
0402.724.895,6,2008,78200,MAIN
0402.724.895,1,2008,78200,MAIN
0402.724.895,1,2003,74502,MAIN
0402.724.895,6,2003,74502,MAIN
0402.725.588,6,2008,78200,MAIN
0402.725.588,1,2008,78200,MAIN
0402.725.588,1,2003,74502,MAIN
0402.725.588,6,2003,74502,MAIN
0402.867.427,6,2008,55100,MAIN
0402.867.427,1,2008,55100,MAIN
0402.867.427,1,2003,55101,MAIN
0402.867.427,6,2003,55101,MAIN
0402.950.965,6,2008,46720,MAIN
0402.950.965,1,2008,46720,MAIN
0402.950.965,1,2008,24100,SECO
0402.950.965,1,2003,51520,MAIN
0402.950.965,1,2003,27100,SECO
0402.950.965,6,2003,51520,MAIN
0403.495.353,6,2008,73110,MAIN
0403.495.353,1,2008,73110,MAIN
0403.495.353,1,2003,74401,MAIN
0403.495.353,6,2003,74401,MAIN
0403.703.508,6,2008,56301,MAIN
0403.703.508,1,2008,92000,MAIN
0403.703.508,1,2008,56301,SECO
0403.703.508,1,2003,92710,MAIN
0403.703.508,1,2003,55401,SECO
0403.703.508,6,2003,55401,MAIN
0403.858.906,1,2008,10391,MAIN
0403.858.906,1,2008,46216,SECO
0403.858.906,1,2003,15331,MAIN
0403.858.906,1,2003,51210,SECO
0403.872.960,6,2008,56101,MAIN
0403.872.960,1,2008,56101,MAIN
0403.872.960,1,2003,92722,MAIN
0403.872.960,6,2003,55301,MAIN
0404.016.282,6,2008,10712,MAIN
0404.016.282,1,2008,10711,MAIN
0404.016.282,1,2003,15811,MAIN
0404.016.282,6,2003,15812,MAIN
0404.032.714,1,2008,43910,MAIN
0404.032.714,1,2008,43999,SECO
0404.032.714,1,2008,47521,SECO
0404.032.714,1,2003,45220,MAIN
0404.032.714,1,2003,45250,SECO
0404.032.714,1,2003,52461,SECO
0404.035.583,6,2008,56301,MAIN
0404.035.583,1,2008,43341,MAIN
0404.035.583,1,2003,45441,MAIN
0404.035.583,6,2003,55401,MAIN
0404.055.577,6,2008,64190,MAIN
0404.055.577,1,2008,64190,MAIN
0404.055.577,1,2008,82990,SECO
0404.055.577,1,2003,65120,MAIN
0404.055.577,1,2003,74879,SECO
0404.055.577,6,2003,65120,MAIN
0404.065.475,1,2008,27200,MAIN
0404.065.475,1,2003,31400,MAIN
0404.074.383,6,2008,93292,MAIN
0404.074.383,1,2008,92000,MAIN
0404.074.383,1,2008,93292,SECO
0404.074.383,1,2003,51873,MAIN
0404.074.383,6,2003,92722,MAIN
0404.086.063,1,2008,47716,MAIN
0404.086.063,1,2008,56290,SECO
0404.086.063,1,2008,62020,SECO
0404.086.063,1,2003,52450,MAIN
0404.093.387,1,2008,70220,MAIN
0404.093.387,1,2008,90021,SECO
0404.093.387,1,2008,90029,SECO
0404.093.387,1,2008,90031,SECO
0404.093.387,1,2008,90032,SECO
0404.093.387,1,2008,90042,SECO
0404.093.387,1,2003,74142,MAIN
0404.116.351,1,2008,47721,MAIN
0404.116.351,1,2003,52431,MAIN
0404.157.824,1,2008,47770,MAIN
0404.157.824,1,2008,95250,SECO
0404.157.824,1,2003,52484,MAIN
0404.157.824,1,2003,52730,SECO
0404.300.651,1,2008,70220,MAIN
0404.300.651,1,2008,47784,SECO
0404.300.651,1,2008,64999,SECO
0404.300.651,1,2003,93012,MAIN
0404.300.651,1,2003,52488,SECO
0404.305.797,6,2008,71209,MAIN
0404.305.797,1,2008,71209,MAIN
0404.305.797,1,2003,74203,MAIN
0404.305.797,6,2003,74302,MAIN
0404.454.168,6,2008,66220,MAIN
0404.454.168,1,2008,65121,MAIN
0404.458.128,1,2008,66220,MAIN
