EntityNumber,EntityContact,ContactType,Value
0211.205.820,ENT,TEL,+32 478 51 01 40
0211.205.820,ENT,EMAIL,olivier.lins@scba.be
0211.206.909,ENT,EMAIL,kerkraad@sint-jorisparochie.be
0211.206.909,ENT,WEB,sint-jorisparochie.be
0211.207.107,ENT,TEL,03 231 31 48
0211.207.107,ENT,EMAIL,kerkraad@sintpaulusantwerpen.be
0211.207.107,ENT,WEB,www.sintpaulusantwerpen.be
0211.207.206,ENT,TEL,03 237 63 27
0211.207.206,ENT,EMAIL,henrivanlier@telenet.be
0211.225.319,ENT,EMAIL,alain.pels@telenet.be
0211.537.006,ENT,TEL,0495 93 45 60
0211.537.006,ENT,EMAIL,arie.plaisier@telenet.be
0212.235.604,ENT,TEL,03/201 66 50
0402.867.427,ENT,TEL,03 204 12 12
0404.035.583,ENT,EMAIL,barzarantwerpen@gmail.com
0404.157.824,ENT,EMAIL,info@instyle-immo.be
0404.157.824,ENT,WEB,www.instyle-immo.be
0404.454.168,ENT,EMAIL,info@premiare.eu
0404.454.168,ENT,WEB,www.premiare.eu
0404.458.128,ENT,EMAIL,info@premiare.eu
0404.458.128,ENT,WEB,www.premiare.eu
0404.616.494,ENT,EMAIL,info@avh.be
0404.616.494,ENT,WEB,www.avh.be
0404.766.053,ENT,TEL,03 231 39 32
0404.766.053,ENT,EMAIL,mail@dirix-verresen.be
0404.777.139,ENT,TEL,03 366 44 00
0404.777.139,ENT,EMAIL,info@toneelfonds.be
0404.777.139,ENT,WEB,www.toneelfonds.be
0404.779.119,ENT,TEL,032339381
0404.779.119,ENT,EMAIL,info@kockx.be
0404.796.440,ENT,TEL,+3232067350
0404.796.440,ENT,EMAIL,info@portplus.be
0404.796.440,ENT,EMAIL,info@portplus.be
0404.796.440,ENT,WEB,www.portplus.be
0404.796.440,ENT,WEB,www.portplus.be
0404.989.054,ENT,WEB,www.slaets.eu
0407.625.771,ENT,TEL,03/2034411
0407.625.771,ENT,EMAIL,info@dienstbetoon.be
0407.625.771,ENT,WEB,www.dienstbetoon.be
0407.723.365,ENT,EMAIL,sam@fakkeltheater.be
0408.499.464,ENT,TEL,03/232.97.72
