EntityNumber,omzet
0400.088.970,729316
0400.113.815,88942509.97
0403.812.681,757781.25
0404.279.568,1298208.31
0404.502.569,1295232.24
0404.514.348,6345656.60
0404.519.593,3265298.76
0404.546.814,6078188.97
0404.555.920,2464074.71
0404.561.561,1348904.79
0404.633.619,217624.81
0404.642.230,359434.23
0404.668.162,1611149.63
0404.687.562,746712.78
0404.757.343,2098929.21
0404.778.426,1265233530.35
0404.788.126,2226585.52
0404.795.252,1210512.52
0404.805.051,2194208.43
0404.805.843,94012.62
0404.851.472,129664.45
0404.859.390,10649122.9
0404.871.862,232408
0404.880.275,301509.24
0404.910.662,27821
0404.941.346,2020363.03
0404.944.712,5664425.39
0404.955.303,1533851.76
0404.982.918,1247237.39
0406.371.503,86940499.11
0406.381.894,835236.66
0406.612.815,150072.48
0406.996.063,2114825.83
0407.617.853,15699413.21
0408.700.986,112132.42
0412.714.610,329304.50
0413.037.381,2171883.06
0413.209.805,9482165.51
0413.751.025,745715.81
0414.420.028,2950849.96
0414.446.752,610203.97
0415.050.033,466793.85
0415.615.603,32591005.3
0416.005.284,546351.66
0416.594.016,19452163.42
0416.639.348,4099804.97
0416.737.536,633082.87
0416.747.236,299676.34
0417.068.128,2451623.06
0417.267.670,411750.91
0417.371.402,287720.5
0417.388.624,2606935.6
0417.768.508,802785.85
0419.148.678,225810.62
0419.425.129,1771544.52
0420.405.225,509780.25
0420.516.081,198471.55
0420.624.959,1225383.17
0420.799.361,5088563
0421.613.171,193840.38
0421.722.346,16389942.13
0421.794.107,76568.46
0422.658.197,264391.59
0422.658.890,198268.98
0422.785.386,35699160.30
0422.788.653,677952.96
0423.055.897,30644701.58
0423.163.191,378320.68
0423.306.218,4200502.31
0424.870.292,243560.93
0425.069.935,12144252.66
0425.077.952,2360241.31
0425.110.022,2508583.57
0425.156.938,97301.75
0425.307.782,66987.78
0425.405.178,135088.67
0425.468.823,162680.09
0425.500.396,2157732.20
0425.591.359,11943122.06
0426.063.392,729897
0426.742.194,7058465.41
0426.929.860,19178855
0427.165.729,188217757.51
0427.903.424,151000.76
0428.364.272,2588226.75
0428.652.502,763900.08
0429.632.596,42106.16
0429.886.974,1402637.44
0430.795.509,128863.62
0431.449.367,1001109.13
0431.666.529,101385.70
0431.709.089,11.68
0432.324.347,1316854.42
0432.403.531,1205168.22
0432.840.031,708678.67
0434.630.967,40629.86
0434.778.447,9582799.44
0434.790.424,314947.67
0435.165.853,823139.89
0435.652.437,13374651.71
0435.702.224,17684451.07
0435.762.404,6195744.42
0435.946.803,225563.15
0436.475.650,719693.27
0436.652.230,136143.38
0437.293.123,635.21
0437.396.952,477378.74
0437.508.008,75605.28
0437.511.768,2814788.28
0437.690.922,146523.17
0437.798.909,99208.18
0437.958.958,1003557.04
0438.171.467,1145749.85
0438.173.744,1323128.96
0438.205.913,91409.89
0438.238.872,82224.62
0438.421.390,17751.94
0438.929.849,365709.21
0439.068.916,6.67
0439.071.389,691765.95
0439.204.914,73397.05
0439.275.485,27195
0439.401.387,137469.39
0439.421.381,603368.79
0439.637.553,1627556.49
0439.912.618,170771.27
0439.974.182,516701.73
0440.552.224,345409.96
0440.701.583,1277171.9
0441.219.346,871767.08
0441.491.045,38134.54
0441.540.733,741260.38
0441.950.509,355008.13
0442.012.568,7837939.85
0442.455.897,160395.93
0442.706.614,3498625.81
0444.190.813,2300670.78
0444.302.956,17093245.61
0444.760.737,324565.23
0444.813.987,64898.28
0444.832.397,4432.47
0445.299.779,631627.24
0445.364.909,24458386.98
0445.394.405,189803.01
0445.419.248,15485.66
0445.906.525,3326423.44
0446.232.167,4001549.61
0446.540.191,6852091.2
0446.660.551,1983773.33
0446.770.716,3108523.67
0447.068.842,194600.36
0447.616.594,463219.45
0447.838.607,8013.56
0447.890.867,98407.18
0447.916.108,2006677
0448.207.009,214647.43
0448.501.175,2092244.8
0448.536.908,1072588.57
0448.601.343,6906078.09
0448.692.504,351.75
0448.965.389,48055.25
0448.973.309,280493.71
0449.325.774,331319.59
0449.426.833,133787.17
0449.455.735,400882.9
0449.834.035,159302
0450.130.280,791351.07
0450.429.990,684729.33
0450.609.837,82218.48
0450.689.912,38874.52
0450.695.751,434816.41
0450.714.260,98392.78
0450.880.051,415919.09
0451.034.360,132619601.71
0451.098.597,22942.95
0451.101.369,75097.48
0451.161.351,220230.14
0451.200.052,52634.17
0451.471.850,111913.33
0451.505.306,45665.5
0451.552.717,1965891
0451.683.369,344649.11
0451.763.246,1022050.33
0452.189.551,324238.84
0452.266.161,1139535.95
0452.292.291,699886.51
0452.640.602,9114.2
0452.697.911,65242.03
0452.805.106,5848102.38
0452.839.154,2403768.99
0452.911.806,948118.65
0452.979.112,308444.22
0453.139.359,47506.25
0453.299.905,3343.40
0453.335.240,542224.1
0453.957.228,177358.64
0454.167.757,322880.67
0454.194.283,455210.56
0454.213.683,475485.14
0454.264.460,708607.64
0454.401.547,1168393.95
0454.509.633,124596.2
0455.097.670,1380473.47
0455.154.781,5458256.5
0455.197.145,74035.46
