EntityNumber,TypeOfAddress,CountryNL,CountryFR,Zipcode,MunicipalityNL,MunicipalityFR,StreetNL,StreetFR,HouseNumber,Box,ExtraAddressInfo,DateStrikingOff
0211.204.929,REGO,,,2060,Antwerpen,Antwerpen,Lange Lobroekstraat,Lange Lobroekstraat,163,,,
0211.206.117,REGO,,,2060,Antwerpen,Antwerpen,Lange Beeldekensstraat,Lange Beeldekensstraat,18,,,
0211.207.701,REGO,,,2060,Antwerpen,Antwerpen,Sint-Norbertusstraat,Sint-Norbertusstraat,1,,,
0211.211.461,REGO,,,2060,Antwerpen,Antwerpen,Pastorijstraat,Pastorijstraat,39,,,
0211.225.814,REGO,,,2060,Antwerpen,Antwerpen,Onderwijsstraat,Onderwijsstraat,38,,,
0400.088.970,REGO,,,2060,Antwerpen,Antwerpen,Cassiersstraat,Cassiersstraat,5,,,
0400.113.815,REGO,,,2060,Antwerpen,Antwerpen,De Waghemakerestraat,De Waghemakerestraat,38,,,
0400.424.809,REGO,,,2060,Antwerpen,Antwerpen,Franklin Rooseveltplaats,Franklin Rooseveltplaats,4,31,,
0403.812.681,REGO,,,2060,Antwerpen,Antwerpen,Lange Stuivenbergstraat,Lange Stuivenbergstraat,76-78,,,
0404.279.568,REGO,,,2060,Antwerpen,Antwerpen,Lange Lobroekstraat,Lange Lobroekstraat,173,,,
0404.500.688,REGO,,,2060,Antwerpen,Antwerpen,Bisschopstraat,Bisschopstraat,70,,,
0404.502.569,REGO,,,2060,Antwerpen,Antwerpen,Violierstraat,Violierstraat,15,,,
0404.514.348,REGO,,,2060,Antwerpen,Antwerpen,Cassiersstraat,Cassiersstraat,5,,,
0404.519.593,REGO,,,2060,Antwerpen,Antwerpen,Cassiersstraat,Cassiersstraat,19,,,
0404.535.827,REGO,,,2060,Antwerpen,Antwerpen,Osystraat,Osystraat,26,,,
0404.545.725,REGO,,,2060,Antwerpen,Antwerpen,Bredastraat,Bredastraat,136-138,,,
0404.546.814,REGO,,,2060,Antwerpen,Antwerpen,Damplein,Damplein,23,,,
0404.555.920,REGO,,,2060,Antwerpen,Antwerpen,Van de Wervestraat,Van de Wervestraat,8,,,
0404.561.561,REGO,,,2060,Antwerpen,Antwerpen,Hardenvoort,Hardenvoort,16,,,
0404.562.848,REGO,,,2060,Antwerpen,Antwerpen,Meetingstraat,Meetingstraat,23,,,
0404.573.637,REGO,,,2060,Antwerpen,Antwerpen,Dambruggestraat,Dambruggestraat,342,,,
0404.584.723,REGO,,,2060,Antwerpen,Antwerpen,Van Arteveldestraat,Van Arteveldestraat,23,,,
0404.595.809,REGO,,,2060,Antwerpen,Antwerpen,Diepestraat,Diepestraat,38,,,
0404.602.440,REGO,,,2060,Antwerpen,Antwerpen,Dambruggestraat,Dambruggestraat,63,,,
0404.605.014,REGO,,,2060,Antwerpen,Antwerpen,Carnotstraat,Carnotstraat,15,,,
0404.612.437,REGO,,,2060,Antwerpen,Antwerpen,Bredastraat,Bredastraat,108,,,
0404.617.682,REGO,,,2060,Antwerpen,Antwerpen,Sint-Elisabethstraat,Sint-Elisabethstraat,69,,Sint-Elisabethstraat 69 (71,
