EntityNumber,TypeOfAddress,CountryNL,CountryFR,Zipcode,MunicipalityNL,MunicipalityFR,StreetNL,StreetFR,HouseNumber,Box,ExtraAddressInfo,DateStrikingOff,FullAddress,Latitude,Longitude
0211.204.929,REGO,,,2060,Antwerpen,Antwerpen,Lange Lobroekstraat,Lange Lobroekstraat,163,,,,"Lange Lobroekstraat 163, 2060 Antwerpen, Belgium",51.23095875,4.429088141205539
0211.206.117,REGO,,,2060,Antwerpen,Antwerpen,Lange Beeldekensstraat,Lange Beeldekensstraat,18,,,,"Lange Beeldekensstraat 18, 2060 Antwerpen, Belgium",51.22118525,4.4220769380500755
0211.207.701,REGO,,,2060,Antwerpen,Antwerpen,Sint-Norbertusstraat,Sint-Norbertusstraat,1,,,,"Sint-Norbertusstraat 1, 2060 Antwerpen, Belgium",51.226544649999994,4.423284493406998
0211.211.461,REGO,,,2060,Antwerpen,Antwerpen,Pastorijstraat,Pastorijstraat,39,,,,"Pastorijstraat 39, 2060 Antwerpen, Belgium",51.21975515,4.433035323145626
0211.225.814,REGO,,,2060,Antwerpen,Antwerpen,Onderwijsstraat,Onderwijsstraat,38,,,,"Onderwijsstraat 38, 2060 Antwerpen, Belgium",51.22560545,4.4352941381003586
0400.088.970,REGO,,,2060,Antwerpen,Antwerpen,Cassiersstraat,Cassiersstraat,5,,,,"Cassiersstraat 5, 2060 Antwerpen, Belgium",51.2265999,4.41546240249451
0400.113.815,REGO,,,2060,Antwerpen,Antwerpen,De Waghemakerestraat,De Waghemakerestraat,38,,,,"De Waghemakerestraat 38, 2060 Antwerpen, Belgium",51.228227000000004,4.416578895288143
0400.424.809,REGO,,,2060,Antwerpen,Antwerpen,Franklin Rooseveltplaats,Franklin Rooseveltplaats,4,31,,,"Franklin Rooseveltplaats 4, 2060 Antwerpen, Belgium",51.21974175,4.418030237555012
0403.812.681,REGO,,,2060,Antwerpen,Antwerpen,Lange Stuivenbergstraat,Lange Stuivenbergstraat,76-78,,,,"Lange Stuivenbergstraat 76-78, 2060 Antwerpen, Belgium",51.22441995,4.4314155648447615
0404.279.568,REGO,,,2060,Antwerpen,Antwerpen,Lange Lobroekstraat,Lange Lobroekstraat,173,,,,"Lange Lobroekstraat 173, 2060 Antwerpen, Belgium",51.23109565,4.428624084249112
0404.500.688,REGO,,,2060,Antwerpen,Antwerpen,Bisschopstraat,Bisschopstraat,70,,,,"Bisschopstraat 70, 2060 Antwerpen, Belgium",51.21977505,4.426728517801939
0404.502.569,REGO,,,2060,Antwerpen,Antwerpen,Violierstraat,Violierstraat,15,,,,"Violierstraat 15, 2060 Antwerpen, Belgium",51.2221416,4.41750650443038
0404.514.348,REGO,,,2060,Antwerpen,Antwerpen,Cassiersstraat,Cassiersstraat,5,,,,"Cassiersstraat 5, 2060 Antwerpen, Belgium",51.2265999,4.41546240249451
