EntityNumber,Language,TypeOfDenomination,Denomination
0211.204.929,2,1,Kerkfabriek Sint-Lambertus te Dam (VL - Antwerpen)
0211.206.117,2,1,Kerkfabriek Heilig Hart van Jezus (VL - Antwerpen)
0211.207.701,2,1,Kerkfabriek Sint-Amandus te Stuivenberg (VL - Antwerpen)
0211.211.461,2,1,Kerkfabriek Sint-Willibrordus Antwerpen(VL - Antwerpen)
0211.225.814,2,1,Kerkfabriek Sint-Eligius (VL - Antwerpen)
0400.088.970,2,1,BEST & OSTERRIETH
0400.113.815,2,1,F.L. VANDRIESSCHE EN C
0400.424.809,2,1,Familiekring Buitenland
0403.812.681,2,1,ThePharm
0404.279.568,2,1,Schilderbedrijf Van Mieghem
0404.500.688,2,1,Van Bauwel en Co
0404.502.569,2,1,Zakenkantoor Van Looveren & Co
0404.514.348,2,1,JOHN P. BEST & Co
0404.519.593,2,1,MARINZEE
0404.535.827,0,1,Firme C. Meerbergen
0404.545.725,2,1,Société S.A.T.A.-Vervoer en Bevrachting
0404.545.725,2,2,Sata
0404.546.814,2,1,HAEGER & SCHMIDT LOGISTICS BELGIUM
0404.555.920,2,1,L'IDEAL INTERNATIONAAL TRANSPORTKANTOOR - L'IDEAL COMPTOIR DE TRANSPORTS INTERNATIONAUX
0404.561.561,2,1,AGRICOLA TRADING
0404.562.848,2,1,Antwerpwool
0404.573.637,2,1,Costom
0404.584.723,2,1,Willy Gysen en Compagnie
0404.595.809,2,1,Confectie Mignon
0404.602.440,0,1,Provinciale Antwerpse Cinema Cooperatief
0404.602.440,0,2,Pacico
0404.605.014,0,1,Rubenspaleis
0404.612.437,0,1,Vanheste en zoon
0404.617.682,0,1,Alglas
0404.633.619,2,1,DE ROECK
0404.640.844,0,1,Consortium Franco-Allemand du Meuble-Duits-Frans Meubelconsortium
0404.640.844,0,2,Frabelam
0404.642.230,2,1,Glasservice
0404.656.977,2,1,Electro Industrielle
0404.661.432,0,1,Sasa Belgium
0404.668.162,2,1,Billards Thissen
0404.668.162,2,3,THISSEN BILJARTS
0404.675.783,2,1,Centrale Verwarming Veranneman
0404.687.562,2,1,Antwerpse Bondsslachterij
0404.719.137,2,1,Vleeswarenfabriek Lodes
0404.729.035,2,1,Remolyan
0404.737.547,0,1,Topmeat
0404.741.012,0,1,Antwerpse Varkensslachters
0404.741.606,0,1,Verbond Vlaamse Financiebedienden
0404.749.227,0,1,Werken Van Sint-Henricus Oudstudentenbond
0404.751.801,0,1,Antverpia Transport
0404.757.343,2,1,Stevedoring & Trading Company Brabo
0404.769.023,2,1,Excelsior
0404.776.149,2,1,International Transport and Warehousing
0404.776.149,2,2,Intrawa
0404.778.426,2,1,Katoen Natie
0404.788.126,2,1,Oude Buildragersnatie
0404.795.252,2,1,Scaldis Stevedoring Cy. Ltd.
0404.795.351,2,1,Scandinavian Stevedoring Company
0404.805.051,2,1,AUTOMOTIVE CONTRACTORS
0404.805.843,2,1,Dam Apotheek
0404.815.741,0,1,Bantex
0404.842.663,0,1,Chocolaterie Meurisse
0404.842.663,0,2,Sofideco
0404.851.472,2,1,LUCIE
0404.859.390,2,1,VAN HULLE SHIPSUPPLIERS IMPORTERS - EXPORTERS
0404.871.862,2,1,BERCU
0404.872.555,2,1,Agence Nautique Boesch Belgique
0404.880.275,2,1,GEBROEDERS DECAP
0404.910.662,2,1,Studio Ros Beiaard
0404.911.256,2,1,Sanaplast
0404.932.933,0,1,Etablissements Bauwens Pierre
0404.941.346,2,1,Garage Congres
0404.944.118,2,1,Carrosserie De Meulder
0404.944.712,2,1,De Ronde
0404.955.303,2,1,Forklift Rent
0404.982.918,2,1,Pierre Raymakers En Zoon
0405.801.181,0,1,Bustraen
0405.804.448,0,1,Zelfstandigenfront)( )(
0406.317.855,2,1,R. Fierens
0406.371.503,2,1,KATOEN NATIE TERMINALS
0406.381.894,2,1,Werkhuizen Frans Stevens
0406.612.815,2,1,J.A.S.U.
0406.636.470,2,1,Parochiale Werken van Sint-Willibrordus
0406.836.410,2,1,Berlis
0406.845.021,0,1,Per Plastic International
0406.996.063,2,1,JAN DE GRAEF & C°
